s1,s2,label,pred
这是什么意思，被蹭网吗,我也是醉了，这是什么意思,0,1
心各有所属是什么意思？,心有所属是什么意思?,0,1
世界杯哪位球员进球最多,世界杯单界进球最多是哪位球员,0,1
刚出生的小野鸡怎么养,刚抓来的野鸡怎么养殖,0,1
哪种减肥药最快最有效,哪种减肥药最有效，减肥效果最好,0,1
怎么测试我爱的他爱不爱我。,怎么测试老公爱不爱我啊,0,1
怎样证明我们都还活着，,怎样能证明自己还活着，毫无存在感。,1,0
动物园好玩么,这个时候去动物园好玩吗,1,0
拉倒是什么意思了,你拉倒吧什么意思,1,0
男人吃什么水果补肾？,男人补肾强精吃什么食物,0,1
为什么我总是和男朋友吵架最近,为什么跟男朋友吵架后先妥协的总是我,0,1
中国人谁最美？,谁最美，是中国人吧，定,0,1
什么牌子的美缝剂好呢,瓷片美缝剂什么牌子好,0,1
今年过年的时候会冷吗,今年过年会很冷吗,0,1
所有手机都可以连接小米盒子么？,其他手机能连接小米盒子吗,0,1
七上八下是什么生肖？,七上八下各自走是什么生肖,0,1
天天酷跑怎样金币换钻石,天天酷跑要怎么刷金币和钻石？,1,0
有关成长的成语,()()成长成语,0,1
吃煮的香蕉有什么好处,吃蒸香蕉有什么好处,0,1
请看一下这个题。,给我看一下，,0,1
为啥我在超市买了个超人变身器变不了身,为什么我不能变身超人啊,0,1
消防工作的方针是什么？,小区消防工作的指导方针是什么,1,0
带面具的这是什么电影,这个鬼面具的电影叫什么,0,1
男生动漫头像,萌男生动漫头像,0,1
女宝宝取名大全,宝宝取名大全,0,1
我和女朋友的问题,关于女朋友的问题,0,1
穿越火线怎么练狙？,穿越火线怎么玩？,1,0
怎么玩游戏下载,快玩游戏怎么下载？,0,1
怎么可以下载百度影音,百度影音中咋下载,0,1
淘宝怎么做充值话费,如何在淘宝开话费充值店,0,1
如何炒茄子不变色？,如何茄子皮不变色,0,1
孕妇可以喝一些什么茶叶？,孕妇可以喝茶叶吗？,0,1
火影忍者佐助搞小樱,火影忍者佐助和小樱,1,0
赛尔号的达尔在哪,赛尔号抓达尔,0,1
什么牌子的手表好,什么牌子的女手表好,0,1
现在网上做什么赚钱啊？,现在网上卖什么最赚钱,0,1
红龙女王和闪金镇的那一夜,求红龙女王跟闪金镇的那一夜,0,1
美食的好节目,有哪些美食节目,0,1
哪个牌子的微型小货车好,微型小货车汽油发动机哪个牌子好,0,1
关于北京庙会,北京庙会哪个好,0,1
我的世界村民吃什么?,葫芦侠我的世界里村民吃什么,0,1
世界上有怪物忙,世界上有怪物,0,1
知道日报去哪里了,在哪里看知道日报,0,1
全民飞机大战有什么好的外挂吗？,求全民飞机大战的外挂,0,1
什么叫支付宝账户名,什么是支付宝账户？,0,1
谁知道这是什么鸟啊,谁知道这是什么,1,0
