Pe冷	Pe冰凉	1
Yl热	Yl冰凉	0
co凉爽	co冰凉	0
防止MN	预防MN	1
防止IQ	避免IQ	1
LW和aq一起A	LW和aq同时A	1
D和g不同时X	DN和gq一起X	0
JR大学	gR大学	0
xx7多少钱	xx7X多少钱	0
总是VgqF	偶尔VgqF	0
经常JX	通常JX	1
从不lq	总是lq	0
经常JO	常常eo	0
经常CW	常常CW	1
TF可能ky	ky可能TF	0
Omy吧你这	你这Omy吧	1
CqRb是不是？	Cq是不是Rb？	1
他Lm是不是？	你Lm是不是？	0
FvNm是吗	Fv是不是Nm	1
请Y一Yiv	iv请Y一Y	1
Ul冷	Ul冰凉	1
Vm热	Vm冰凉	0
bn凉爽	bn冰凉	0
防止JV	预防JV	1
防止LX	避免LX	1
DQ和bp一起U	DQ和bp同时U	1
I和g不同时P	IO和gv一起P	0
HY大学	kY大学	0
xx7多少钱	xx7R多少钱	0
总是VgpG	偶尔VgpG	0
经常AQ	通常AQ	1
从不kp	总是kp	0
经常CZ	常常dv	0
经常AW	常常AW	1
ZM可能kv	kv可能ZM	0
Xcs吧你这	你这Xcs吧	1
CsXf是不是？	Cs是不是Xf？	1
他Id是不是？	你Id是不是？	0
MuWf是吗	Mu是不是Wf	1
请O一Ohv	hv请O一O	1
Vm冷	Vm冰凉	1
Uf热	Uf冰凉	0
mw凉爽	mw冰凉	0
防止GS	预防GS	1
防止HS	避免HS	1
EZ和is一起D	EZ和is同时D	1
F和j不同时P	FS和jw一起P	0
FN大学	hN大学	0
xx7多少钱	xx7V多少钱	0
总是TawB	偶尔TawB	0
经常IS	通常IS	1
从不in	总是in	0
经常LZ	常常ev	0
经常MP	常常MP	1
YA可能bu	bu可能YA	0
Ubr吧你这	你这Ubr吧	1
DqYa是不是？	Dq是不是Ya？	1
他Cl是不是？	你Cl是不是？	0
DxNd是吗	Dx是不是Nd	1
请T一Tbn	bn请T一T	1
Nf冷	Nf冰凉	1
Rj热	Rj冰凉	0
fw凉爽	fw冰凉	0
防止CR	预防CR	1
防止DS	避免DS	1
IW和cr一起L	IW和cr同时L	1
G和k不同时C	GT和ks一起C	0
GT大学	eT大学	0
xx7多少钱	xx7Y多少钱	0
总是WlvD	偶尔WlvD	0
经常FQ	通常FQ	1
从不jt	总是jt	0
经常HW	常常ct	0
经常AX	常常AX	1
PB可能hn	hn可能PB	0
Vau吧你这	你这Vau吧	1
IrPa是不是？	Ir是不是Pa？	1
他Lh是不是？	你Lh是不是？	0
AzXc是吗	Az是不是Xc	1
请T一Tcp	cp请T一T	1
Nh冷	Nh冰凉	1
Vb热	Vb冰凉	0
in凉爽	in冰凉	0
防止LQ	预防LQ	1
防止KV	避免KV	1
IQ和ev一起L	IQ和ev同时L	1
D和f不同时Z	DV和fu一起Z	0
GP大学	bP大学	0
xx7多少钱	xx7P多少钱	0
总是TevK	偶尔TevK	0
经常MO	通常MO	1
从不it	总是it	0
经常GV	常常en	0
经常AN	常常AN	1
OJ可能fn	fn可能OJ	0
Sfq吧你这	你这Sfq吧	1
FnXf是不是？	Fn是不是Xf？	1
他Bh是不是？	你Bh是不是？	0
AtWk是吗	At是不是Wk	1
请X一Xmx	mx请X一X	1
Pj冷	Pj冰凉	1
Wi热	Wi冰凉	0
bx凉爽	bx冰凉	0
防止FY	预防FY	1
防止LW	避免LW	1
LV和mo一起Y	LV和mo同时Y	1
M和k不同时C	MV和kp一起C	0
IU大学	lU大学	0
xx7多少钱	xx7S多少钱	0
总是WaoH	偶尔WaoH	0
经常IP	通常IP	1
从不fn	总是fn	0
经常CW	常常jt	0
经常KY	常常KY	1
NA可能aw	aw可能NA	0
Ufo吧你这	你这Ufo吧	1
MuQd是不是？	Mu是不是Qd？	1
他Le是不是？	你Le是不是？	0
HvXa是吗	Hv是不是Xa	1
请V一Vkr	kr请V一V	1
Tj冷	Tj冰凉	1
Ua热	Ua冰凉	0
dt凉爽	dt冰凉	0
防止KZ	预防KZ	1
防止HO	避免HO	1
JP和cn一起D	JP和cn同时D	1
F和e不同时W	FN和ev一起W	0
MU大学	jU大学	0
xx7多少钱	xx7R多少钱	0
总是VcqD	偶尔VcqD	0
经常FU	通常FU	1
从不ey	总是ey	0
经常IR	常常bp	0
经常KV	常常KV	1
RC可能go	go可能RC	0
Qiz吧你这	你这Qiz吧	1
MsXi是不是？	Ms是不是Xi？	1
他Ea是不是？	你Ea是不是？	0
CwUa是吗	Cw是不是Ua	1
请N一Nht	ht请N一N	1
Xh冷	Xh冰凉	1
Rg热	Rg冰凉	0
fx凉爽	fx冰凉	0
防止DU	预防DU	1
防止FV	避免FV	1
AQ和hr一起Y	AQ和hr同时Y	1
J和j不同时N	JQ和jt一起N	0
IQ大学	lQ大学	0
xx7多少钱	xx7V多少钱	0
总是ZbuF	偶尔ZbuF	0
经常DP	通常DP	1
从不ln	总是ln	0
经常HN	常常jx	0
经常EU	常常EU	1
PB可能ds	ds可能PB	0
Zlz吧你这	你这Zlz吧	1
FqQj是不是？	Fq是不是Qj？	1
他Ka是不是？	你Ka是不是？	0
HvVi是吗	Hv是不是Vi	1
请U一Uaw	aw请U一U	1
Qi冷	Qi冰凉	1
Ua热	Ua冰凉	0
ct凉爽	ct冰凉	0
防止BS	预防BS	1
防止FO	避免FO	1
EV和ky一起X	EV和ky同时X	1
H和a不同时Z	HR和as一起Z	0
CX大学	iX大学	0
xx7多少钱	xx7Y多少钱	0
总是QfoC	偶尔QfoC	0
经常MW	通常MW	1
从不mz	总是mz	0
经常JR	常常at	0
经常AZ	常常AZ	1
ZL可能cn	cn可能ZL	0
Zmp吧你这	你这Zmp吧	1
CzSb是不是？	Cz是不是Sb？	1
他Lm是不是？	你Lm是不是？	0
FxVc是吗	Fx是不是Vc	1
请N一Nit	it请N一N	1
Th冷	Th冰凉	1
Yf热	Yf冰凉	0
dy凉爽	dy冰凉	0
防止GO	预防GO	1
防止ER	避免ER	1
MO和kn一起U	MO和kn同时U	1
D和k不同时Z	DW和kz一起Z	0
HT大学	bT大学	0
xx7多少钱	xx7T多少钱	0
总是RgsA	偶尔RgsA	0
经常GR	通常GR	1
从不io	总是io	0
经常BP	常常mr	0
经常IU	常常IU	1
OG可能iq	iq可能OG	0
Qfu吧你这	你这Qfu吧	1
MnZd是不是？	Mn是不是Zd？	1
他Ge是不是？	你Ge是不是？	0
InXf是吗	In是不是Xf	1
请Z一Zip	ip请Z一Z	1
Pf冷	Pf冰凉	1
Yl热	Yl冰凉	0
kv凉爽	kv冰凉	0
防止AZ	预防AZ	1
防止LQ	避免LQ	1
BN和cy一起I	BN和cy同时I	1
F和k不同时K	FT和ks一起K	0
IV大学	gV大学	0
xx7多少钱	xx7R多少钱	0
总是ZauH	偶尔ZauH	0
经常BV	通常BV	1
从不jz	总是jz	0
经常HX	常常av	0
经常LS	常常LS	1
NA可能cy	cy可能NA	0
Rlw吧你这	你这Rlw吧	1
JsOl是不是？	Js是不是Ol？	1
他Ml是不是？	你Ml是不是？	0
KyVc是吗	Ky是不是Vc	1
请Z一Ziy	iy请Z一Z	1
Nd冷	Nd冰凉	1
Vm热	Vm冰凉	0
aw凉爽	aw冰凉	0
防止DR	预防DR	1
防止CT	避免CT	1
BZ和lu一起H	BZ和lu同时H	1
C和j不同时W	CQ和ju一起W	0
MR大学	fR大学	0
xx7多少钱	xx7W多少钱	0
总是PfqE	偶尔PfqE	0
经常FZ	通常FZ	1
从不ax	总是ax	0
经常JP	常常fo	0
经常EN	常常EN	1
TL可能ku	ku可能TL	0
Shy吧你这	你这Shy吧	1
LqVj是不是？	Lq是不是Vj？	1
他Hc是不是？	你Hc是不是？	0
EsZj是吗	Es是不是Zj	1
请N一Nlq	lq请N一N	1
Tc冷	Tc冰凉	1
Uk热	Uk冰凉	0
it凉爽	it冰凉	0
防止LN	预防LN	1
防止FW	避免FW	1
MW和hu一起W	MW和hu同时W	1
G和d不同时O	GQ和ds一起O	0
AT大学	hT大学	0
xx7多少钱	xx7U多少钱	0
总是WkxB	偶尔WkxB	0
经常KS	通常KS	1
从不gu	总是gu	0
经常KQ	常常ew	0
经常FW	常常FW	1
SH可能bz	bz可能SH	0
Qco吧你这	你这Qco吧	1
JqZj是不是？	Jq是不是Zj？	1
他Bb是不是？	你Bb是不是？	0
EsPa是吗	Es是不是Pa	1
请N一Nlq	lq请N一N	1
Vc冷	Vc冰凉	1
Zg热	Zg冰凉	0
dt凉爽	dt冰凉	0
防止HN	预防HN	1
防止IR	避免IR	1
CP和jr一起M	CP和jr同时M	1
C和a不同时X	CT和ar一起X	0
KN大学	kN大学	0
xx7多少钱	xx7Q多少钱	0
总是OhvC	偶尔OhvC	0
经常DZ	通常DZ	1
从不in	总是in	0
经常EO	常常lx	0
经常HO	常常HO	1
SL可能az	az可能SL	0
Rlp吧你这	你这Rlp吧	1
JpVa是不是？	Jp是不是Va？	1
他Hc是不是？	你Hc是不是？	0
GqVf是吗	Gq是不是Vf	1
请W一Wdn	dn请W一W	1
Uf冷	Uf冰凉	1
Yc热	Yc冰凉	0
mt凉爽	mt冰凉	0
防止FQ	预防FQ	1
防止MX	避免MX	1
LW和ew一起R	LW和ew同时R	1
J和g不同时H	JV和go一起H	0
BQ大学	eQ大学	0
xx7多少钱	xx7U多少钱	0
总是QhwM	偶尔QhwM	0
经常LQ	通常LQ	1
从不js	总是js	0
经常CX	常常js	0
经常KN	常常KN	1
UC可能jv	jv可能UC	0
Ojr吧你这	你这Ojr吧	1
KnYf是不是？	Kn是不是Yf？	1
他Mk是不是？	你Mk是不是？	0
KwVb是吗	Kw是不是Vb	1
请S一Sgy	gy请S一S	1
Tf冷	Tf冰凉	1
Wf热	Wf冰凉	0
mq凉爽	mq冰凉	0
防止HQ	预防HQ	1
